Batch ID,Machine ID,Fabric type,Operator,Shift,Production quantity,Production speed,Waste quantity,Machine age,Last maintenance date,Humidity,Temperature
B-00001,M-02,Cotton,Op-09,Morning,1061.8101782710437,290.14286128198324,17.243564560610007,11.247915185359671,2026-05-05,59.93292420985183,23.12037280884873
B-00002,M-02,Polyester,Op-08,Night,587.1254182522991,273.235229154987,6.354681375440395,9.415610164404923,2025-10-23,,34.161451555920905
B-00003,M-01,Polyester,Op-14,Evening,1954.8647782429914,266.48852816008434,43.338745575039795,3.972747549495866,2026-04-07,39.09124836035503,23.668090197068675
B-00004,M-10,Silk,Op-02,Night,1287.1346474483566,186.38900372842315,27.91252644233565,5.077207962772587,2026-01-04,60.59264473611897,22.789877213040835
B-00005,M-06,Wool,Op-07,Night,1049.5427649405376,191.2139968434072,32.083869022216035,11.99246345950219,2026-07-23,,23.993475643167194
B-00006,M-05,Denim,Op-12,Morning,1388.6218532930639,109.29008254399955,66.59194626507897,9.505627926620138,2026-02-19,38.526206184364575,21.30103185970559
B-00007,M-09,Polyester,Op-06,Evening,1948.448049611839,261.6794696232922,53.789051214466916,5.26459276842719,2026-02-14,34.883605700319194,33.684660530243136
B-00008,M-01,Polyester,Op-02,Evening,683.0573522671682,199.03538202225405,24.932202217424756,1.4814392956130575,2026-02-03,75.4660201039391,25.17559963200034
B-00009,M-07,Denim,Op-05,Evening,967.5666141341164,204.01360423556216,39.67537179749044,8.653943910805914,2026-06-17,39.24272277627635,39.39169255529117
B-00010,M-04,Polyester,Op-17,Evening,1909.2484123462837,278.9654700855298,34.05968288029616,9.370599703355191,2026-07-12,76.09371175115584,21.76985004103839
B-00011,M-07,Denim,Op-20,Evening,567.8409333658071,165.06606615265287,13.78157501409985,6.441482055652748,2025-11-30,43.567451588694794,36.57475018303859
B-00012,M-05,Silk,Op-04,Evening,921.4017645310712,208.5392166316497,244.9424186416352,2.972939149646677,2026-01-17,70.10984903770199,21.491012873595416
B-00013,M-09,Cotton,Op-10,Night,798.0735223012587,101.10442342472048,32.60195291205921,12.416459998367678,2025-12-11,65.34286719238085,34.58014336081975
B-00014,M-01,Wool,Op-11,Evening,611.0669776011356,171.6931457088545,14.198704013647108,2.622166833351816,2026-08-18,73.15517129377967,32.46596253655116
B-00015,M-10,Cotton,Op-03,Night,595.3375254290354,162.19646434313245,27.081016802070277,5.552566508374459,2025-12-22,66.4803089169032,32.75114942710427
B-00016,M-03,Silk,Op-17,Night,1208.322387742924,123.91884918766034,49.3463000275942,10.98542702112193,2026-01-23,68.03925243084487,31.225543951389923
B-00017,M-06,Denim,Op-17,Evening,0.0,204.5465658763988,0.0,6.985574257019695,2026-06-27,31.27095633720476,22.157828539866088
B-00018,M-01,Polyester,Op-03,Morning,1454.6156168956704,162.87119621526534,38.42413251915354,8.119989676305838,2026-03-11,75.37832369630465,24.9858445829775
B-00019,M-10,Wool,Op-16,Morning,1633.326707814573,145.75963309832449,77.07326730869102,2.077718737603102,2025-12-28,44.4875726456884,23.22442574508009
B-00020,M-01,Cotton,Op-02,Evening,1712.1805693466254,226.68075130208467,78.2506926618672,13.200448262628047,2025-08-20,70.18360384495573,23.731401177720716
B-00021,M-05,Denim,Op-08,Morning,1309.0133628734761,261.4880310328125,25.02494057418034,13.545278198928905,2026-01-13,45.90017374859319,22.201038490553536
B-00022,M-02,Polyester,Op-06,Evening,1140.6616829393845,566.632343141219,255.47750291367413,13.050228165588809,2025-12-22,30.347606526559535,30.214946051551316
B-00023,M-08,Silk,Op-14,Night,1006.4227571054419,288.5819407825038,24.702831850723403,5.524841048290574,2025-08-18,55.939531087168305,34.060379177903556
B-00024,M-10,Wool,Op-02,Night,1957.673124081441,292.48945898842226,41.881714460527974,4.524952141555098,2026-03-20,54.86242529461927,26.017566196335395
B-00025,M-02,Polyester,Op-03,Night,555.3304210317992,221.91286679597937,25.728811284825273,8.03750632520406,2026-07-24,32.57393756249947,25.57292928473223
B-00026,M-10,Cotton,Op-14,Night,859.3428360004586,128.9789744182446,31.69722305938412,7.852338643885882,2025-11-02,79.28252270553003,24.84110543023001
B-00027,M-03,Silk,Op-15,Evening,1642.4294229930763,147.52750879847994,378.3602292318419,11.195028880566035,2025-08-08,48.389156635962664,32.64611661187159
B-00028,M-09,Silk,Op-05,Evening,635.4346550816124,267.0604991178476,21.37330069261529,5.490920909604302,2026-07-23,39.32592551999271,20.81550283109528
B-00029,M-09,Cotton,Op-18,Evening,1516.3465427634237,103.31756578557123,25.739462699463143,8.169302816189933,2025-09-22,41.3247887598969,32.903455808188994
B-00030,M-05,Wool,Op-07,Night,1536.4066071536988,177.34706926010747,22.33772478237845,14.114219842314283,2026-03-05,36.87604720729966,26.82132702100517
B-00031,M-02,Denim,Op-09,Morning,1887.040427417844,275.4678706761962,60.77785934711377,4.6111827880121785,2026-08-26,62.999202301708955,36.34444400402432
B-00032,M-09,Cotton,Op-04,Morning,1294.4758675340097,148.37045818009034,45.726141000974465,2.3034387492825887,2025-09-08,74.86078789766634,38.00836114326661
B-00033,M-05,Silk,Op-02,Evening,1008.544686573051,169.84191492253217,41.54702038424908,11.163379504183352,2026-05-12,74.85551299762886,37.741728485302346
B-00034,M-03,Polyester,Op-06,Morning,1463.0474692314315,116.82799299900977,50.11985473244871,3.2628019973245928,2026-01-28,,37.97108377054158
B-00035,M-04,Silk,Op-06,Night,513.7955774249444,120.29430857320642,130.3932405061512,10.289024767512782,2026-07-03,30.253079192310935,23.216161028349973
B-00036,M-04,Polyester,Op-01,Night,1477.9418892539009,144.85386189211195,58.91025559621628,10.970509098865502,2026-05-21,41.862454374840006,26.507993963185356
B-00037,M-09,Silk,Op-01,Morning,1474.449348570822,269.8446820988356,36.43162653691536,10.206580492204807,2026-04-16,58.41543016677358,21.87349535656185
B-00038,M-06,Denim,Op-20,Night,897.8035515225881,738.4433910624946,269.8145837678839,14.622147766534239,2026-06-29,49.65488623333802,37.84093110354227
B-00039,M-09,Polyester,Op-12,Evening,1365.3558269395387,198.50353876377278,14.981556127589457,3.7334018291726228,2026-07-23,66.12260576307526,25.615447248817116
B-00040,M-09,Silk,Op-14,Evening,1468.2084438607517,135.4221358814098,36.420889609950095,14.1664201809408,2026-02-02,77.69642885012937,38.29728780440897
B-00041,M-03,Wool,Op-19,Evening,523.1849247933011,285.66371251754504,101.58542193692972,6.994578076442401,2026-02-01,78.33274095218349,39.272399541785056
B-00042,M-08,Denim,Op-15,Night,1077.6465929028877,270.2273343033714,51.1302260411944,5.4369080721878875,2026-05-10,38.474637334304624,31.136025249167005
B-00043,M-10,Silk,Op-03,Morning,1544.0446950124594,214.012234017873,24.092286173404574,2.3604709127907597,2025-09-17,60.750361334958484,39.801077002085265
B-00044,M-02,Denim,Op-14,Night,0.0,275.47461438559105,0.0,11.370760648558862,2025-11-06,64.8507870497634,34.049681679742186
B-00045,M-02,Denim,Op-08,Morning,940.3877663967401,261.8722310957027,28.63828311711893,12.34158752550853,2025-09-05,73.35361592900519,38.26481105112943
B-00046,M-09,Wool,Op-20,Evening,1252.2744420307995,259.65903579335503,57.10398213346895,10.099495030888711,2025-08-06,65.09834386288517,35.91585338872202
B-00047,M-03,Denim,Op-15,Evening,1006.9927352773037,175.11659052798882,28.82408022552895,2.315747157772166,2025-08-08,58.9140070498087,20.71884547593484
B-00048,M-02,Silk,Op-08,Evening,1313.966952061365,157.30825042565687,56.3744675787713,9.27166564796615,2026-03-09,31.52501249695247,20.746963774984287
B-00049,M-02,Denim,Op-14,Evening,1040.2859621168943,125.41210253037696,36.32222833840169,8.311405640767262,2025-11-23,68.49967765493054,24.316420549936865
B-00050,M-01,Wool,Op-13,Evening,628.021197490652,110.33634423372155,24.520241930590142,8.438964841954071,2026-08-24,57.031756080505325,32.74859802996413
B-00051,M-09,Wool,Op-08,Evening,1963.778119193802,203.26006966023908,54.11948002926383,5.521390621177444,2026-05-07,69.75930973843518,25.416645025241486
B-00052,M-08,Polyester,Op-20,Night,617.6845720133989,105.0701486830915,16.281002697899893,14.47707780549095,2026-08-14,71.79900602561028,33.919484121873964
B-00053,M-03,Cotton,Op-09,Evening,759.9414801062687,131.2874085342172,27.66786966606863,4.503400574304335,2026-03-13,57.46133323530603,34.29191845400125
B-00054,M-05,Cotton,Op-16,Morning,919.9008454189143,290.9730561326388,24.63862654079527,11.33055683374076,2025-08-09,57.717702625570034,32.234414924687044
B-00055,M-01,Polyester,Op-07,Morning,871.5964842517362,171.1945357302523,10.319794484615398,11.609845546501168,2025-10-13,30.719674431487793,22.321452810138325
B-00056,M-06,Polyester,Op-20,Night,561.0932034784552,271.0921168022014,16.644625084791258,10.851210031320331,2025-08-10,53.70869145436626,21.95668321302003
B-00057,M-10,Denim,Op-13,Night,1210.2076561708486,134.64037398200304,42.84588450832923,7.073923089331623,2026-05-18,49.92523671986867,32.317001961044326
B-00058,M-10,Cotton,Op-19,Morning,567.9560146580668,548.880328124429,121.60719183820537,9.76203881999931,2026-03-03,55.15681292900439,37.12979682376644
B-00059,M-08,Cotton,Op-14,Evening,1463.6289173094733,105.30226210832436,37.36175832612473,9.200858137828487,2025-10-06,77.01151207124788,31.50948355751758
B-00060,M-10,Wool,Op-16,Evening,1464.9323276635298,191.65057809830333,70.97248847626679,8.638635050423089,2026-01-16,77.07324043882626,27.722052756015486
B-00061,M-08,Polyester,Op-15,Night,1858.0259629340956,139.15822695785928,25.599358553376188,1.9710582122523164,2025-10-19,35.038900068871335,20.364436513030995
